TimeStamp,Track,DTC Footage
2021-09-01 02:06:24,2009,2
2021-09-01 02:06:26,2009,16
2021-09-01 02:06:28,2009,2
2021-09-01 02:06:30,2009,2
2021-09-01 02:06:32,2009,7
2021-09-01 02:06:34,2009,2
2021-09-01 02:06:36,2009,2
2021-09-01 02:06:38,2009,14
2021-09-01 02:06:40,2009,36
2021-09-01 02:06:42,2009,53
2021-09-01 02:06:44,2009,68
2021-09-01 02:06:46,2009,81
2021-09-01 02:06:48,2009,92
2021-09-01 02:06:50,2009,95
2021-09-01 02:06:52,2009,95
2021-09-01 02:06:54,2009,95
2021-09-01 02:06:56,2009,95
2021-09-01 02:06:58,2009,95
2021-09-01 02:07:00,2009,95
2021-09-01 02:07:02,2009,95
2021-09-01 02:07:04,2009,95
2021-09-01 02:07:06,2009,95
2021-09-01 02:07:08,2009,95
2021-09-01 02:07:10,2009,96
2021-09-01 02:07:12,2009,100
2021-09-01 02:07:14,2009,107
2021-09-01 02:07:16,2009,115
2021-09-01 02:07:18,2009,123
2021-09-01 02:07:20,2009,132
2021-09-01 02:07:22,2009,134
2021-09-01 02:07:24,2009,134
2021-09-01 02:07:26,2009,134
2021-09-01 02:07:28,2009,134
2021-09-01 02:07:30,2009,134
2021-09-01 02:07:32,2009,134
2021-09-01 02:07:34,2009,134
2021-09-01 02:07:36,2009,134
2021-09-01 02:07:38,2009,134
2021-09-01 02:07:40,2009,134
2021-09-01 02:07:42,2009,134
2021-09-01 02:07:44,2009,134
2021-09-01 02:07:46,2009,134
2021-09-01 02:07:48,2009,134
2021-09-01 02:07:50,2009,134
2021-09-01 02:07:52,2009,134
2021-09-01 02:07:54,2009,134
2021-09-01 02:07:56,2009,134
2021-09-01 02:07:58,2009,135
2021-09-01 02:08:00,2009,141
2021-09-01 02:08:02,2009,150
2021-09-01 02:08:04,2009,161
2021-09-01 02:08:06,2009,173
2021-09-01 02:08:08,2009,179
2021-09-01 02:08:10,2009,180
2021-09-01 02:08:12,2009,180
2021-09-01 02:08:14,2009,180
2021-09-01 02:08:16,2009,180
2021-09-01 02:08:18,2009,180
2021-09-01 02:08:20,2009,180
2021-09-01 02:08:22,2009,179
2021-09-01 02:08:24,2009,173
2021-09-01 02:08:26,2009,166
2021-09-01 02:08:28,2009,152
2021-09-01 02:08:30,2009,139
2021-09-01 02:08:32,2009,132
2021-09-01 02:08:34,2009,132
2021-09-01 02:08:36,2009,132
2021-09-01 02:08:38,2009,132
2021-09-01 02:08:40,2009,132
2021-09-01 02:08:42,2009,132
2021-09-01 02:08:44,2009,132
2021-09-01 02:08:46,2009,132
2021-09-01 02:08:48,2009,132
2021-09-01 02:08:50,2009,132
2021-09-01 02:08:52,2009,132
2021-09-01 02:08:54,2009,132
2021-09-01 02:08:56,2009,132
2021-09-01 02:08:58,2009,132
2021-09-01 02:09:00,2009,136
2021-09-01 02:09:02,2009,143
2021-09-01 02:09:04,2009,152
2021-09-01 02:09:06,2009,165
2021-09-01 02:09:08,2009,173
2021-09-01 02:09:10,2009,182
2021-09-01 02:09:12,2009,190
2021-09-01 02:09:14,2009,199
2021-09-01 02:09:16,2009,199
2021-09-01 02:09:18,2009,204
2021-09-01 02:09:20,2009,212
2021-09-01 02:09:22,2009,219
2021-09-01 02:09:24,2009,224
2021-09-01 02:09:26,2009,232
2021-09-01 02:09:28,2009,236
2021-09-01 02:09:30,2009,235
2021-09-01 02:09:33,2009,235
2021-09-01 02:09:35,2009,235
2021-09-01 02:09:37,2009,235
2021-09-01 02:09:39,2009,235
2021-09-01 02:09:41,2009,235
2021-09-01 02:09:43,2009,235
2021-09-01 02:09:45,2009,235
2021-09-01 02:09:47,2009,235
2021-09-01 02:09:49,2009,235
2021-09-01 02:09:51,2009,235
2021-09-01 02:09:53,2009,235
2021-09-01 02:09:55,2009,235
2021-09-01 02:09:57,2009,235
2021-09-01 02:09:59,2009,235
2021-09-01 02:10:01,2009,235
2021-09-01 02:10:03,2009,235
2021-09-01 02:10:05,2009,235
2021-09-01 02:10:07,2009,235
2021-09-01 02:10:09,2009,235
2021-09-01 02:10:11,2009,235
2021-09-01 02:10:13,2009,235
2021-09-01 02:10:15,2009,235
2021-09-01 02:10:17,2009,235
2021-09-01 02:10:19,2009,235
2021-09-01 02:10:21,2009,235
2021-09-01 02:10:23,2009,235
2021-09-01 02:10:25,2009,235
2021-09-01 02:10:27,2009,235
2021-09-01 02:12:27,2009,271
2021-09-01 02:12:29,2009,293
2021-09-01 02:12:31,2009,317
2021-09-01 02:12:33,2009,343
2021-09-01 02:12:35,2009,368
2021-09-01 02:12:37,2009,370
2021-09-01 02:12:39,2009,369
2021-09-01 02:12:41,2009,369
2021-09-01 02:12:43,2009,369
2021-09-01 02:12:45,2009,369
2021-09-01 02:12:47,2009,369
2021-09-01 02:12:49,2009,369
2021-09-01 02:12:51,2009,369
2021-09-01 02:12:53,2009,369
2021-09-01 02:12:55,2009,369
2021-09-01 02:12:57,2009,369
2021-09-01 02:12:59,2009,369
2021-09-01 02:13:01,2009,369
2021-09-01 02:13:03,2009,369
2021-09-01 02:13:05,2009,369
2021-09-01 02:13:07,2009,369
2021-09-01 02:13:09,2009,369
2021-09-01 02:13:11,2009,369
2021-09-01 02:13:13,2009,369
2021-09-01 02:13:15,2009,369
2021-09-01 02:13:17,2009,369
2021-09-01 02:13:19,2009,369
2021-09-01 02:13:21,2009,369
2021-09-01 02:13:23,2009,369
2021-09-01 02:13:25,2009,369
2021-09-01 02:13:27,2009,369
2021-09-01 02:13:29,2009,369
2021-09-01 02:13:31,2009,369
2021-09-01 02:13:33,2009,369
2021-09-01 02:14:43,2009,315
2021-09-01 02:14:45,2009,277
2021-09-01 02:14:47,2009,239
2021-09-01 02:14:49,2009,201
2021-09-01 02:14:51,2009,166
2021-09-01 02:14:53,2009,128
2021-09-01 02:14:55,2009,90
2021-09-01 02:14:57,2009,59
2021-09-01 02:14:59,2009,31
2021-09-01 02:15:01,2009,8
2021-09-01 02:15:03,2009,2
2021-09-01 02:15:05,2009,2
2021-09-01 02:15:07,2009,2
2021-09-01 02:15:09,2009,2
2021-09-01 02:15:11,2009,2
2021-09-01 02:15:13,2009,2
2021-09-01 02:15:15,2009,2
2021-09-01 02:15:17,2009,2
2021-09-01 02:15:19,2009,2
2021-09-01 02:15:21,2009,2
2021-09-01 02:15:23,2009,2
2021-09-01 02:15:25,2009,2
2021-09-01 02:15:27,2009,2
2021-09-01 02:15:29,2009,2
2021-09-01 02:15:31,2009,2
2021-09-01 02:15:33,2009,2
2021-09-01 02:15:35,2009,2
2021-09-01 02:15:37,2009,2
2021-09-01 02:15:39,2009,2
2021-09-01 02:15:41,2009,2
2021-09-01 02:15:43,2009,2
2021-09-01 02:15:45,2009,2
2021-09-01 02:15:47,2009,2
2021-09-01 02:15:49,2009,2
2021-09-01 02:15:51,2009,2
2021-09-01 02:15:53,2009,2
2021-09-01 02:15:55,2009,2
2021-09-01 02:15:57,2009,2
2021-09-01 02:15:59,2009,2
2021-09-01 02:16:01,2009,2
2021-09-01 02:25:06,2009,12
2021-09-01 02:25:08,2009,30
2021-09-01 02:25:10,2009,58
2021-09-01 02:25:12,2009,89
2021-09-01 02:25:14,2009,121
2021-09-01 02:25:16,2009,156
2021-09-01 02:25:18,2009,189
2021-09-01 02:25:20,2009,220
