Car Number,Rollability (lbs)
564008,685.6603773584907
816329,749.8039215686275
737430,743.9215686274509
540434,329.6551724137931
624023,762.3529411764707
19239,227.95321637426898
191240,868.0851063829787
10121,224.67836257309943
601507,225.96491228070178
10198,225.83333333333334
710146,862.9166666666667
667369,855.4166666666667
209678,862.4999999999999
101041,819.5999999999998
200093,885.5319148936169
9232,352.18181818181824
30823,348.2142857142857
30307,337.4137931034483
30515,206.2365591397849
850911,355.0909090909091
29867,889.3617021276596
721748,828.75
642132,775.9999999999999
380131,799.2
641504,792.8000000000001
694358,410.72727272727275
135268,981.7777777777777
8213,869.7872340425532
300270,340.1754385964913
721029,219.4535519125683
209403,381.11111111111103
316572,226.19883040935673
70038,366.9811320754717
409944,338.7272727272727
682278,902.127659574468
211001,829.5833333333334
538910,817.0212765957446
538176,117.7391304347826
111977,889.5833333333334
491397,800.0000000000001
475923,813.469387755102
257255,233.89830508474572
517,868.75
216263,361.6666666666667
216296,362.59259259259255
256959,875.4166666666666
91121,204.94623655913972
300128,873.6170212765958
672702,736.9230769230769
662399,929.5652173913043
156021,155.0
641543,114.76056338028168
725116,217.59562841530055
257745,855.0
642123,1096.1904761904761
256163,127.5
155853,150.0
252872,104.47368421052632
28525,203.49206349206352
23125,199.68750000000003
191543,205.18518518518513
815945,326.9491525423729
487101,220.45977011494253
55055,849.7872340425532
223831,831.25
2855,842.9166666666665
302820,209.0
63005,212.65536723163842
302349,381.6981132075472
301860,358.14814814814815
204711,375.1851851851853
800036,851.6666666666666
68467,801.6
52012,321.18644067796606
262320,328.7931034482759
250332,834.2857142857143
201295,855.0
815661,191.34328358208955
890308,191.010101010101
814371,320.983606557377
814670,331.6949152542373
208136,200.72916666666666
648302,197.5
23183,346.31578947368416
23145,361.0344827586207
23611,831.0204081632653
4072,332.85714285714283
23282,812.6530612244898
517,289.5833333333333
216296,362.59259259259255
91121,307.4193548387096
91010,355.0909090909091
409,844.8979591836734
100107,884.2553191489361
202650,895.3191489361702
462672,218.79781420765028
114140,916.9565217391305
301570,957.8260869565219
55002,907.659574468085
880624,349.64912280701753
286187,346.60714285714283
600547,909.5652173913045
805657,344.3859649122807
82521,1064.5454545454547
168794,168.6065573770492
209408,894.468085106383
518756,758.0392156862745
101002,922.6086956521739
44583,1051.4285714285713
564141,772.9411764705883
684819,372.26415094339626
202861,425.2
729465,977.3333333333333
206311,917.8723404255319
6048,1057.6744186046512
6133,128.44444444444446
151195,232.87356321839079
165562,389.2307692307692
48260,820.0
761778,836.734693877551
9224,191.34328358208958
805495,832.2448979591836
301935,371.45454545454544
303050,377.5925925925926
252847,955.2173913043478
257175,153.99999999999997
257397,372.59259259259255
5532,387.49999999999994
10845,848.2608695652175
76136,202.37288135593218
5640,108.05797101449274
232632,405.88235294117646
646019,952.2727272727273
683792,885.9574468085106
446558,1035.909090909091
90204,853.7499999999999
98240,370.5660377358491
98042,375.0943396226415
461537,390.37735849056605
8126,373.8888888888889
461879,922.1739130434783
8183,973.3333333333333
436114,990.2222222222222
466,866.1224489795918
4003,896.595744680851
62533,990.6666666666666
257255,233.89830508474572
202169,210.53763440860214
250606,885.5319148936169
600547,909.5652173913045
517,868.75
90018,1099.0697674418604
701691,938.2978723404256
808545,1040.4444444444446
30704,212.91666666666666
295008,327.70491803278685
826209,1119.0697674418602
541499,361.8518518518518
68087,361.99999999999994
466,866.1224489795918
250831,210.58201058201055
7838,1119.047619047619
68498,108.76923076923077
90899,782.0
141064,166.7741935483871
70094,407.2549019607843
8213,869.7872340425532
68498,108.76923076923077
17235,416.2
833323,960.0
520052,854.0425531914894
155951,940.909090909091
263572,1026.3636363636365
710160,990.2222222222222
301980,420.6
516101,925.2173913043479
16112,275.9477124183006
166649,265.40880503144655
90018,549.5348837209302
62769,235.06172839506172
302241,408.80000000000007
7465,1126.5
7838,1119.047619047619
90899,782.0
704210,401.4
250907,992.3809523809524
250004,986.1904761904763
250913,993.3333333333333
4284,991.1627906976742
200753,482.8888888888889
73507,1048.7804878048782
200770,1361.6216216216217
290385,175.59322033898303
490452,433.95833333333326
472043,1131.7073170731705
469034,238.07909604519776
76161,236.94915254237287
469093,114.44444444444446
11220,116.2816901408451
516332,139.2857142857143
461025,1043.7209302325582
511932,917.7777777777776
673725,1052.3809523809525
21254,878.6363636363636
803456,215.4802259887006
518987,79.75103734439834
518299,218.4180790960452
53137,387.6
519245,376.47058823529414
519639,385.20000000000005
518731,1047.8048780487804
21273,378.8235294117647
120260,358.14814814814815
735665,221.5819209039548
330288,233.69047619047615
695,922.7272727272727
16225,957.6744186046511
26591,843.913043478261
494011,1060.4878048780488
663569,919.0909090909091
534166,1057.0731707317073
940116,1179.4871794871794
129193,1242.0
53017,452.88888888888886
580089,404.69387755102036
33201,509.5454545454546
210122,431.06382978723406
221514,1011.4285714285712
219790,409.80392156862746
725237,730.8196721311475
34875,1300.0000000000002
32075,949.7674418604653
51080,1291.2820512820513
445954,166.69354838709677
17235,277.46666666666664
12708,920.0000000000001
621424,827.3469387755101
32566,888.936170212766
250016,385.79999999999995
622877,1220.0
875099,931.3636363636363
682779,1031.219512195122
1025,1043.0
66063,232.04678362573097
78631,228.96551724137936
66139,397.59999999999997
66118,386.47058823529414
477858,988.0952380952382
300909,1027.3170731707316
720113,1033.1707317073171
720080,198.20000000000002
649098,981.8604651162791
25039,937.2093023255812
208794,993.8095238095239
545250,240.11695906432752
461368,416.7346938775511
290319,411.8
58955,920.0
350421,449.79166666666663
645908,256.04938271604937
645666,237.70114942528733
294372,974.4186046511628
450422,988.8372093023256
11101,408.80000000000007
639127,1029.5238095238094
639747,971.4285714285714
832972,233.21839080459768
475505,219.77777777777777
178665,117.33333333333333
202169,631.6129032258065
250186,832.2448979591836
546200,874.5833333333334
250831,210.58201058201055
250003,962.3255813953489
250914,226.9047619047619
210022,377.0588235294118
646087,267.8205128205128
49719,1243.5897435897436
58935,1168.0
58861,1091.4999999999998
10092,414.0816326530612
512460,390.79999999999995
802319,375.5769230769231
883784,1017.6190476190477
7733,1087.3170731707314
469311,228.6060606060606
477811,405.10204081632656
250548,967.4418604651162
62533,990.6666666666666
201775,1231.7948717948716
62255,1222.4999999999998
257965,1089.0
80105,1143.0
71669,174.91803278688525
736248,1097.4999999999998
10351,1012.6829268292681
170434,1070.5
19221,1041.9512195121952
645066,407.29166666666663
209891,1001.9047619047619
403682,875.9090909090908
120670,965.7142857142858
451608,160.9090909090909
451622,117.23943661971829
3509,245.14619883040936
627596,226.77419354838707
738349,228.63387978142083
454112,1103.90243902439
54231,173.22033898305088
95057,227.01149425287355
54582,993.8095238095237
19148,999.5238095238093
190294,243.07692307692307
13947,214.36781609195398
8213,869.7872340425532
471326,972.093023255814
251342,448.125
213947,133.9047619047619
40107,235.5151515151515
506611,238.76543209876544
25079,876.6666666666666
141064,222.36559139784947
679023,476.7391304347827
262145,244.44444444444446
679016,269.308176100629
678977,261.60493827160496
679065,264.0251572327044
679047,255.80246913580245
678991,268.5897435897436
873618,846.5217391304346
931098,1176.923076923077
890344,1097.0
215247,158.90625
140064,440.8695652173913
40212,1233.658536585366
4003,896.595744680851
209600,844.8979591836734
215058,1258.421052631579
250078,1000.4761904761905
263577,985.7142857142858
101226,1096.7441860465115
300163,1092.0
3397,1012.1951219512196
200250,1164.4999999999998
930328,126.98507462686568
206718,1184.6153846153848
534801,1011.219512195122
534797,975.2380952380953
220971,1248.7179487179487
179649,410.6382978723405
575369,415.4166666666667
73386,1063.4146341463415
73252,462.12765957446805
73312,1115.5
1711,420.0
441066,454.04255319148933
18726,1028.8372093023256
816699,1015.7142857142857
571110,1147.5
33612,1206.1538461538462
101269,1045.8536585365855
700167,1007.1428571428571
28386,979.5454545454545
923218,1078.048780487805
31060,1096.5853658536587
73571,137.5737704918033
170797,137.24590163934428
16024,450.6382978723405
880652,995.8139534883719
16041,1166.153846153846
804517,1020.4761904761906
1586,998.6046511627907
70094,407.2549019607843
763137,1064.8780487804877
